clf,fold,precision,recall,f1,support,mcc,roc_auc,pr_auc
Biased Dummy,1,0.12400717396874199,0.12467800103039671,0.12434168272318562,,0.007965944379937173,0.5039922992625959,0.1755465897900368
Biased Dummy,2,0.11119651550089675,0.11179804224626481,0.11149646756583173,,-0.006586479343175763,0.49669904842781853,0.16345472439963488
Biased Dummy,3,0.11427107353317961,0.11488923235445647,0.11457931920359667,,-0.003093897649628657,0.4984494286281651,0.1663567720933313
Biased Dummy,4,0.10940302331539842,0.11002318989951043,0.10971223021582734,,-0.008598622181301745,0.4956901395603088,0.161764102719453
Linear SVM,1,0.7627659574468085,0.3693972179289026,0.49774383894481083,,0.49239525452981847,0.918533937581396,0.6538707298686476
Linear SVM,2,0.7729166666666667,0.3822771767130345,0.5115477421578766,,0.5057509248034333,0.9187056601077568,0.6614647581688108
Linear SVM,3,0.7423711855927964,0.3822771767130345,0.5046760754973645,,0.4926418370357726,0.9169455690541544,0.646830086616991
Linear SVM,4,0.7532994923857868,0.38237567637206904,0.5072637156041702,,0.4974468042770473,0.9196531438952429,0.6534669430962919
Logistic Regression,1,0.7200182398540812,0.4067490984028851,0.519835390946502,,0.4991052507749753,0.913078363517338,0.6387959855343275
Logistic Regression,2,0.7275569450647611,0.419629057187017,0.5322659696128084,,0.5109967430659731,0.9131162441975125,0.6457088326826612
Logistic Regression,3,0.709776413853573,0.4170530654301906,0.525393477202661,,0.5010874575524159,0.911476059542011,0.6332553488032913
Logistic Regression,4,0.7114470842332613,0.42437516104096884,0.5316333118140737,,0.5065891003253731,0.9141497971717084,0.638633257719896
Uniform Dummy,1,0.11936450839328537,0.5128799587841318,0.19365820445481954,,0.007413063675616375,0.5,0.558497332810946
Uniform Dummy,2,0.11948441247002398,0.5133951571354972,0.19385273806049996,,0.007788133518459456,0.5,0.558497332810946
Uniform Dummy,3,0.11522781774580336,0.4951056156620299,0.18694679505884643,,-0.005526845902469917,0.5,0.558497332810946
Uniform Dummy,4,0.11835951552943998,0.5086317959288843,0.19203268641470886,,0.004341693164374185,0.5,0.5584857892040146
